model_type,config_id,config_params,fold,accuracy,notes
SVM,0,"{'C': 0.1, 'kernel': 'linear'}",1,0.3695652173913043,
SVM,0,"{'C': 0.1, 'kernel': 'linear'}",2,0.5242718446601942,
SVM,0,"{'C': 0.1, 'kernel': 'linear'}",3,0.5384615384615384,
SVM,0,"{'C': 0.1, 'kernel': 'linear'}",4,0.41414141414141414,
SVM,0,"{'C': 0.1, 'kernel': 'linear'}",5,0.3569482288828338,
SVM,1,"{'C': 1, 'kernel': 'linear'}",1,0.3804347826086957,
SVM,1,"{'C': 1, 'kernel': 'linear'}",2,0.5048543689320388,
SVM,1,"{'C': 1, 'kernel': 'linear'}",3,0.5443786982248521,
SVM,1,"{'C': 1, 'kernel': 'linear'}",4,0.4090909090909091,
SVM,1,"{'C': 1, 'kernel': 'linear'}",5,0.3569482288828338,
SVM,2,"{'C': 10, 'kernel': 'linear'}",1,0.391304347826087,
SVM,2,"{'C': 10, 'kernel': 'linear'}",2,0.5048543689320388,
SVM,2,"{'C': 10, 'kernel': 'linear'}",3,0.5502958579881657,
SVM,2,"{'C': 10, 'kernel': 'linear'}",4,0.4090909090909091,
SVM,2,"{'C': 10, 'kernel': 'linear'}",5,0.3569482288828338,
SVM,3,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.01}",1,0.358695652173913,
SVM,3,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.01}",2,0.4854368932038835,
SVM,3,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.01}",3,0.47337278106508873,
SVM,3,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.01}",4,0.41414141414141414,
SVM,3,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.01}",5,0.3569482288828338,
SVM,4,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",1,0.45652173913043476,
SVM,4,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",2,0.5145631067961165,
SVM,4,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",3,0.5562130177514792,
SVM,4,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",4,0.494949494949495,
SVM,4,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.1}",5,0.3542234332425068,
SVM,5,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.01}",1,0.42391304347826086,
SVM,5,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.01}",2,0.5533980582524272,
SVM,5,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.01}",3,0.4970414201183432,
SVM,5,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.01}",4,0.4444444444444444,
SVM,5,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.01}",5,0.3896457765667575,
SVM,6,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",1,0.45652173913043476,
SVM,6,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",2,0.5048543689320388,
SVM,6,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",3,0.5266272189349113,
SVM,6,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",4,0.5,
SVM,6,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.1}",5,0.36239782016348776,
SVM,7,"{'C': 1, 'kernel': 'poly', 'degree': 2}",1,0.2826086956521739,
SVM,7,"{'C': 1, 'kernel': 'poly', 'degree': 2}",2,0.5436893203883495,
SVM,7,"{'C': 1, 'kernel': 'poly', 'degree': 2}",3,0.42011834319526625,
SVM,7,"{'C': 1, 'kernel': 'poly', 'degree': 2}",4,0.41414141414141414,
SVM,7,"{'C': 1, 'kernel': 'poly', 'degree': 2}",5,0.35967302452316074,
SVM,8,"{'C': 1, 'kernel': 'poly', 'degree': 3}",1,0.2826086956521739,
